"","StartDate","DAX"
"1",2009-01-01,1628.75
"2",2009-01-02,1613.63
"3",2009-01-03,1606.51
"4",2009-01-04,1621.04
"5",2009-01-05,1618.16
"6",2009-01-06,1610.61
"7",2009-01-07,1630.75
"8",2009-01-08,1640.17
"9",2009-01-09,1635.47
"10",2009-01-10,1645.89
"11",2009-01-11,1647.84
"12",2009-01-12,1638.35
"13",2009-01-13,1629.93
"14",2009-01-14,1621.49
"15",2009-01-15,1624.74
"16",2009-01-16,1627.63
"17",2009-01-17,1631.99
"18",2009-01-18,1621.18
"19",2009-01-19,1613.42
"20",2009-01-20,1604.95
"21",2009-01-21,1605.75
"22",2009-01-22,1616.67
"23",2009-01-23,1619.29
"24",2009-01-24,1620.49
"25",2009-01-25,1619.67
"26",2009-01-26,1623.07
"27",2009-01-27,1613.98
"28",2009-01-28,1631.87
"29",2009-01-29,1630.37
"30",2009-01-30,1633.47
"31",2009-01-31,1626.55
"32",2009-02-01,1650.43
"33",2009-02-02,1650.06
"34",2009-02-03,1654.11
"35",2009-02-04,1653.6
"36",2009-02-05,1501.82
"37",2009-02-06,1524.28
"38",2009-02-07,1603.65
"39",2009-02-08,1622.49
"40",2009-02-09,1636.68
"41",2009-02-10,1652.1
"42",2009-02-11,1645.81
"43",2009-02-12,1650.36
"44",2009-02-13,1651.55
"45",2009-02-14,1649.88
"46",2009-02-15,1653.52
"47",2009-02-16,1657.51
"48",2009-02-17,1649.55
"49",2009-02-18,1649.09
"50",2009-02-19,1646.41
"51",2009-02-20,1638.65
"52",2009-02-21,1625.8
"53",2009-02-22,1628.64
"54",2009-02-23,1632.22
"55",2009-02-24,1633.65
"56",2009-02-25,1631.17
"57",2009-02-26,1635.8
"58",2009-02-27,1621.27
"59",2009-02-28,1624.7
"60",2009-03-01,1616.13
"61",2009-03-02,1618.12
"62",2009-03-03,1627.8
"63",2009-03-04,1625.79
"64",2009-03-05,1614.8
"65",2009-03-06,1612.8
"66",2009-03-07,1605.47
"67",2009-03-08,1609.32
"68",2009-03-09,1607.48
"69",2009-03-10,1607.48
"70",2009-03-11,1604.89
"71",2009-03-12,1589.12
"72",2009-03-13,1582.27
"73",2009-03-14,1567.99
"74",2009-03-15,1568.16
"75",2009-03-16,1569.71
"76",2009-03-17,1571.74
"77",2009-03-18,1585.41
"78",2009-03-19,1570.01
"79",2009-03-20,1561.89
"80",2009-03-21,1565.18
"81",2009-03-22,1570.34
"82",2009-03-23,1577
"83",2009-03-24,1590.29
